,team_display_name,team_id
295,LeTourneau,2326
296,Lew & Clrk,2333
297,Liberty,2335
298,Life Univ,124721
299,LIFEPACIFC,109670
300,Limestone,2336
301,Lincoln MO,2876
302,Lind Wilsn,2877
303,Lindenwood,2815
304,Linfield,203
305,Lipscomb,288
306,Little Rock,2031
307,LMU,2351
308,Long Beach St,299
309,Long Island,112358
310,Longwood,2344
311,Loras,263
312,Louisiana,309
313,Louisiana Tech,2348
314,Louisville,97
315,LOURDES,109671
316,Loyola Chicago,2350
317,Loyola LA,100
318,Loyola MD,2352
319,LSU,99
320,LSU Shreveport,2353
321,Luther,67
322,Lynchburg,2355
323,Lynn,2357
324,Lyon,2358
325,Maine,311
326,Malone,556
327,Manhattan,2363
328,Marist,2368
329,Marquette,269
330,Marshall,276
331,Mary Baldwin,124942
332,Maryland,120
333,Marywood,2374
334,Mayvlle St,561
335,McMurry,241
336,McNeese,2377
337,MD-Eastern,2379
338,Medgar Evers,2380
339,Memphis,235
340,Menlo Coll,2381
341,ME-Presque Isle,2361
342,Mercer,2382
343,Merch Marn,2383
344,Mercy,2384
345,Merrimack,2771
346,MGAST,109014
347,Miami,2390
348,Miami OH,193
349,Miami-Hamilton,124809
350,Michigan,130
351,Michigan St,127
352,Mid Am Chr,3126
353,Mid-Atlantic,108806
354,Midway,111166
355,Milligan,2397
356,Millsaps,2398
357,Milwaukee,270
358,Minnesota,135
359,Miss Coll,2401
360,Miss Valley St,2400
361,Mississippi St,344
362,Mississippi Un,126826
363,Missouri,142
364,Missouri St,2623
365,MO Baptist,2880
366,Mobile,2920
367,Molloy,2404
368,Monmouth,2405
369,Monmouthil,2919
370,Monstnor,569
371,Mont Tech,148
372,Montana,149
373,Montana St,147
374,Montevallo,2409
375,Montreat,2410
376,Morehead St,2413
377,Morehouse,60
378,Morgan St,2415
379,Mount Marty,573
380,Mount St Marys,116
381,MRSVL,108789
382,MSOE,110437
383,Mt Olive,2418
384,Mt. St. Mary NY,289
385,MTSU,2393
386,Mtvincent,329
387,Murray St,93
388,Muskingum,332
389,N Arizona,2464
390,N Colorado,2458
391,N Dakota St,2449
392,N Greenvl,2822
393,N Illinois,2459
394,N Kentucky,94
395,N New Mex,3141
396,Navajo Tech,128585
397,Navy,2426
398,NC A&T,2448
399,NC Central,2428
400,NC State,152
401,Nebraska,158
402,Nevada,2440
403,New College FL,128550
404,New Hampshire,160
405,New Mexico,167
406,New Mexico St,166
407,New Orleans,2443
408,Niagara,315
409,Nicholls,2447
410,NJIT,2885
411,Norfolk St,2450
412,North Alabama,2453
413,North American,126750
414,North Carolina,153
415,North Dakota,155
416,North Florida,2454
417,North Park,75
418,North Texas,249
419,NORTHCENMN,121894
420,Northeastern,111
421,Northern Iowa,2460
422,Northern Vermo,126751
423,Northland,2462
424,Northwest,2465
425,Northwestern,77
426,Northwood,2886
427,Notre Dame,87
428,Notre Dame MD,128342
429,NW Indian,3218
430,NW Nzarene,2887
431,N'Western St,2466
432,OAKHILLCHR,110436
433,Oakland,2473
434,Oakland City,2474
435,Oakwood,3083
436,Occidental,2475
437,Oglethorpe,2476
438,Ohio,195
439,Ohio Christian,3121
440,Ohio Dom,2477
441,Ohio State,194
442,Oklahoma,201
443,Oklahoma St,197
444,Old Dominion,295
445,Ole Miss,145
446,OLLU,3158
447,Omaha,2437
448,Oral Roberts,198
449,Oregon,2483
450,Oregon St,204
451,Ozark Chrstn,127162
452,Pac Union,594
453,Pacif. Lutheran,2486
454,Pacific,279
455,Park U Gilbert,123350
456,Paul Quinn,2491
457,Penn,219
458,Penn Allegheny,124950
459,Penn State,213
460,Penn State-NK,126910
461,Penn State-Sch,128344
462,Penn St-York,112706
463,Pepperdine,2492
464,Pfeiffer,2945
465,Piedmont,2496
466,Pit Greensburg,126821
467,Pitt,221
468,Platts St,177
469,Point Loma Nz,2500
470,Point Park,214
471,Portland,2501
472,Portland Bible,3217
473,Portland St,2502
474,Prairie View,2504
475,Presbyterian,2506
476,Princeton,163
477,Providence,2507
478,PSU Brandywine,111199
479,PSWILKES,111942
480,Purdue,2509
481,Purdue FW,2870
482,Queens,2511
483,Queens NY,2512
